"key","context","status","comment","en-US","de-DE","es-419","fr-FR","it-IT","ja-JP","ko-KR","pt-BR","ru-RU","zh-CN","screenshotable","batch","test_name","en-US_screenshot","de-DE_screenshot","es-419_screenshot","fr-FR_screenshot","it-IT_screenshot","ja-JP_screenshot","ko-KR_screenshot","pt-BR_screenshot","ru-RU_screenshot","zh-CN_screenshot"
"Azores2312640B","appears in a dropdown of timezones","verified","","Azores","Azoren","Azores","Açores","Azzorre","アゾレス","아조레스","Açores","Азорские о-ва","亚速尔群岛","no","4","","","","","","","","","","",""
"Baghdad21378F3B","appears in a dropdown of timezones","verified","","Baghdad","Bagdad","Bagdad","Baghdad","Baghdad","バグダッド","바그다드","Bagdá","Багдад","巴格达","no","4","","","","","","","","","","",""
"BakuFF2AD962","appears in a dropdown of timezones","verified","","Baku","Baku","Bakú","Baku","Baku","バクー","바쿠","Baku","Баку","巴库","no","4","","","","","","","","","","",""
"Bangkok71248A3E","appears in a dropdown of timezones","verified","","Bangkok","Bangkok","Bangkok","Bangkok","Bangkok","バンコク","방콕","Bancoc","Бангкок","曼谷","no","4","","","","","","","","","","",""
"BeijingB9D665E1","appears in a dropdown of timezones","verified","","Beijing","Beijing","Beijing","Beijing","Pechino","北京","베이징","Pequim","Пекин","北京","no","4","","","","","","","","","","",""
"Belgrade375AEFB3","appears in a dropdown of timezones","verified","","Belgrade","Belgrad","Belgrado","Belgrade","Belgrado","ベオグラード","베오그라드","Belgrado","Белград","贝尔格莱德","no","4","","","","","","","","","","",""
"Berlin3C4E341B","appears in a dropdown of timezones","verified","","Berlin","Berlin","Berlín","Berlin","Berlino","ベルリン","베를린","Berlim","Берлин","柏林","no","4","","","","","","","","","","",""
"BernE946114A","appears in a dropdown of timezones","verified","","Bern","Bern","Berna","Berne","Berna","ベルン","베른","Berna","Берн","伯尔尼","no","4","","","","","","","","","","",""
"Bogota7CAC44C3","appears in a dropdown of timezones","verified","","Bogota","Bogotá","Bogotá","Bogota","Bogotá","ボゴタ","보고타","Bogotá","Богота","波哥大","no","4","","","","","","","","","","",""
"Brasilia81DE96F6","appears in a dropdown of timezones","verified","","Brasilia","Brasilia","Brasilia","Brasilia","Brasilia","ブラジリア","브라질리아","Brasília","Бразилия","巴西利亚","no","4","","","","","","","","","","",""
"Bratislava494AA23A","appears in a dropdown of timezones","verified","","Bratislava","Bratislava","Bratislava","Bratislava","Bratislava","ブラチスラバ","브라티슬라바","Bratislava","Братислава","布拉迪斯拉发","no","4","","","","","","","","","","",""
"BrisbaneFA785217","appears in a dropdown of timezones","verified","","Brisbane","Brisbane","Brisbane","Brisbane","Brisbane","ブリスベン","브리즈번","Brisbane","Брисбен","布里斯班","no","4","","","","","","","","","","",""
"BrusselsA722DF02","appears in a dropdown of timezones","verified","","Brussels","Brüssel","Bruselas","Bruxelles","Bruxelles","ブリュッセル","브뤼셀","Bruxelas","Брюссель","布鲁塞尔","no","4","","","","","","","","","","",""
"BucharestD426DBA5","appears in a dropdown of timezones","verified","","Bucharest","Bukarest","Bucarest","Bucarest","Bucarest","ブカレスト","부쿠레슈티","Bucareste","Бухарест","布加勒斯特","no","4","","","","","","","","","","",""
"BudapestF1A4C083","appears in a dropdown of timezones","verified","","Budapest","Budapest","Budapest","Budapest","Budapest","ブダペスト","부다페스트","Budapeste","Будапешт","布达佩斯","no","4","","","","","","","","","","",""
"Buenos_AiresFD3E330E","appears in a dropdown of timezones","verified","","Buenos Aires","Buenos Aires","Buenos Aires","Buenos Aires","Buenos Aires","ブエノスアイレス","부에노스아이레스","Buenos Aires","Буэнос-Айрес","布宜诺斯艾利斯","no","4","","","","","","","","","","",""
"CairoDDE9D2F0","appears in a dropdown of timezones","verified","","Cairo","Kairo","El Cairo","Le Caire","Il Cairo","カイロ","카이로","Cairo","Каир","开罗","no","4","","","","","","","","","","",""
"Canberra42CCE684","appears in a dropdown of timezones","verified","","Canberra","Canberra","Canberra","Canberra","Canberra","キャンベラ","캔버라","Camberra","Канберра","堪培拉","no","4","","","","","","","","","","",""
"Cape_Verde_Is522CCCB3","appears in a dropdown of timezones","verified","","Cape Verde Is.","Kapverden","Isla Cabo Verde","Île du Cap-Vert","Isole di Capo Verde","カーボベルデ諸島","카보베르데","Cabo Verde","О-в Кабо-Верде","佛得角群岛","no","4","","","","","","","","","","",""
"CaracasD4D440B5","appears in a dropdown of timezones","verified","","Caracas","Caracas","Caracas","Caracas","Caracas","カラカス","카라카스","Caracas","Каракас","加拉加斯","no","4","","","","","","","","","","",""
"Casablanca7E49BBEB","appears in a dropdown of timezones","verified","","Casablanca","Casablanca","Casablanca","Casablanca","Casablanca","カサブランカ","카사블랑카","Casablanca","Касабланка","卡萨布兰卡","no","4","","","","","","","","","","",""
"Central_AmericaF9A9603E","appears in a dropdown of timezones","verified","","Central America","Mittelamerika","América Central","Amérique Centrale","America Centrale","中央アメリカ","중앙아메리카","América Central","Центральная Америка","中美洲","no","4","","","","","","","","","","",""
"Central_Time_US__Canada1B3FBA15","appears in a dropdown of timezones","verified","","Central Time (US & Canada)","Zentralzeit (USA & Kanada)","Hora Central (EE.UU. y Canadá)","Heure du Centre (États-Unis et Canada)","Fuso centrale (Stati Uniti e Canada)","中部標準時 (米国およびカナダ)","중부 표준시(미국 및 캐나다)","Hora Central (EUA e Canadá)","Североамериканское центральное время (США и Канада)","中部时间（美国和加拿大）","no","4","","","","","","","","","","",""
"Chennai8CC22090","appears in a dropdown of timezones","verified","","Chennai","Chennai","Chennai","Chennai","Chennai","チェンナイ","첸나이","Chennai","Ченнаи","马德拉斯","no","4","","","","","","","","","","",""
"Chihuahua6400AD5F","appears in a dropdown of timezones","verified","","Chihuahua","Chihuahua","Chihuahua","Chihuahua","Chihuahua","チワワ","치와와","Chihuahua","Чихуахуа","奇瓦瓦","no","4","","","","","","","","","","",""
"ChongqingDA27EC9D","appears in a dropdown of timezones","verified","","Chongqing","Chongqing","Chongqing","Chongqing","Chongqing","重慶","충칭","Chonquim","Чунцин","重庆","no","4","","","","","","","","","","",""
"Copenhagen873DA4AA","appears in a dropdown of timezones","verified","","Copenhagen","Kopenhagen","Copenhague","Copenhague","Copenaghen","コペンハーゲン","코펜하겐","Copenhague","Копенгаген","哥本哈根","no","4","","","","","","","","","","",""
"DarwinFE43D57","appears in a dropdown of timezones","verified","","Darwin","Darwin","Darwin","Darwin","Darwin","ダーウィン","다윈","Darwin","Дарвин","达尔文","no","4","","","","","","","","","","",""
"Dhaka606A94CD","appears in a dropdown of timezones","verified","","Dhaka","Dhaka","Dhaka","Dhaka","Dacca","ダッカ","다카","Dacca","Дакка","达卡","no","4","","","","","","","","","","",""
"DublinDAEE171B","appears in a dropdown of timezones","verified","","Dublin","Dublin","Dublín","Dublin","Dublino","ダブリン","더블린","Dublin","Дублин","都柏林","no","4","","","","","","","","","","",""
"Eastern_Time_US__CanadaAC030726","appears in a dropdown of timezones","verified","","Eastern Time (US & Canada)","Ostküstenzeit (USA & Kanada)","Hora del Este (EE.UU. y Canadá)","Heure de l'Est (États-Unis et Canada)","Fuso orientale (Stati Uniti e Canada)","東部標準時 (米国およびカナダ)","동부 표준시(미국 및 캐나다)","Hora do Leste (EUA e Canadá)","Североамериканское восточное время (США и Канада)","东部时间（美国和加拿大）","no","4","","","","","","","","","","",""
"Edinburgh8BCE470C","appears in a dropdown of timezones","verified","","Edinburgh","Edinburgh","Edimburgo","Édimbourg","Edinburgo","エジンバラ","에든버러","Edimburgo","Эдинбург","爱丁堡","no","4","","","","","","","","","","",""
"EkaterinburgD44568BB","appears in a dropdown of timezones","verified","","Ekaterinburg","Ekaterinburg","Ekaterimburgo","Ekaterinburg","Ekaterinburg","エカテリンバーグ","예카테린부르크","Ekaterimburgo","Екатеринбург","叶卡捷琳堡","no","4","","","","","","","","","","",""
"Fiji73417283","appears in a dropdown of timezones","verified","","Fiji","Fidschi","Fiji","Fidji","Figi","フィジー","피지","Ilhas Fiji","Фиджи","斐济","no","4","","","","","","","","","","",""
"GMTA345E6F2","appears in a dropdown of timezones","verified","","GMT","MEZ","GMT","GMT","GMT","GMT","GMT","GMT","Время по Гринвичу","格林威治标准时间","no","4","","","","","","","","","","",""
"GeorgetownD2A51C36","appears in a dropdown of timezones","verified","","Georgetown","Georgetown","Georgetown","Georgetown","Georgetown","ジョージタウン","조지타운","Georgetown","Джорджтаун","乔治敦","no","4","","","","","","","","","","",""
"Greenland9C7ED2CE","appears in a dropdown of timezones","verified","","Greenland","Grönland","Groenlandia","Groënland","Groenlandia","グリーンランド","그린란드","Groenlândia","Гренландия","格陵兰","no","4","","","","","","","","","","",""
"Guadalajara57BAE2BD","appears in a dropdown of timezones","verified","","Guadalajara","Guadalajara","Guadalajara","Guadalajara","Guadalajara","グアダラハラ","과달라하라","Guadalajara","Гвадалахара","瓜达拉哈拉","no","4","","","","","","","","","","",""
"Guam3A585220","appears in a dropdown of timezones","verified","","Guam","Guam","Guam","Guam","Guam","グアム","괌","Guam","Остров Гуам","关岛","no","4","","","","","","","","","","",""
"HanoiB9793C4D","appears in a dropdown of timezones","verified","","Hanoi","Hanoi","Hanói","Hanoï","Hanoi","ハノイ","하노이","Hanói","Ханой","河内","no","4","","","","","","","","","","",""
"Harare5E6930FC","appears in a dropdown of timezones","verified","","Harare","Harare","Harare","Harare","Harare","ハラーレ","하라레","Harare","Хараре","哈拉雷","no","4","","","","","","","","","","",""
"HawaiiC937477F","appears in a dropdown of timezones","verified","","Hawaii","Hawaii","Hawai","Hawaii","Hawaii","ハワイ","하와이","Havaí","Гавайи","夏威夷","no","4","","","","","","","","","","",""
"Helsinki3190057E","appears in a dropdown of timezones","verified","","Helsinki","Helsinki","Helsinki","Helsinki","Helsinki","ヘルシンキ","헬싱키","Helsinque","Хельсинки","赫尔辛基","no","4","","","","","","","","","","",""
"HobartDBF0F9F0","appears in a dropdown of timezones","verified","","Hobart","Hobart","Hobart","Hobart","Hobart","ホバート","호바트","Hobart","Хобарт","霍巴特","no","4","","","","","","","","","","",""
"Hong_KongA207C10B","appears in a dropdown of timezones","verified","","Hong Kong","Hongkong","Hong Kong","Hong-Kong","Hong Kong","香港","홍콩","Hong Kong","Гонконг","香港特别行政区","no","4","","","","","","","","","","",""
"Indiana_East14D4C600","appears in a dropdown of timezones","verified","","Indiana (East)","Indiana (Ost)","Indiana (Este)","Indiana (Est)","Indiana (Est)","インディアナ東部","인디애나(동부)","Indiana (Leste)","Индиана (Вост.)","印地安那州（东部）","no","4","","","","","","","","","","",""
"International_Date_Line_West3B36DDA1","appears in a dropdown of timezones","verified","","International Date Line West","Internationale Datumsgrenze West","Fecha internacional línea Oeste","Ouest de ligne de changement de date","Linea cambiamento data internazionale","国際日付変更線西側","날짜변경선 서쪽","Linha de Data Internacional do Oeste","Демаркационная линия времени - запад","国际日期变更线西","no","4","","","","","","","","","","",""
"Irkutsk359C0785","appears in a dropdown of timezones","verified","","Irkutsk","Irkutsk","Irkutsk","Irkoutsk","Irkutsk","イルクーツク","이르쿠츠크","Irkutsk","Иркутск","伊尔库茨克","no","4","","","","","","","","","","",""
"IslamabadA60B0E9C","appears in a dropdown of timezones","verified","","Islamabad","Islamabad","Islamabad","Islamabad","Islamabad","イスラマバード","이슬라마바드","Islamabad","Исламабад","伊斯兰堡","no","4","","","","","","","","","","",""
"Istanbul3C77E28D","appears in a dropdown of timezones","verified","","Istanbul","Istanbul","Estambul","Istanbul","Istanbul","イスタンブール","이스탄불","Istambul","Стамбул","伊斯坦布尔","no","4","","","","","","","","","","",""
"JakartaF554AE8E","appears in a dropdown of timezones","verified","","Jakarta","Jakarta","Yakarta","Jakarta","Giacarta","ジャカルタ","자카르타","Jacarta","Джакарта","雅加达","no","4","","","","","","","","","","",""
"Jerusalem420AD4A2","appears in a dropdown of timezones","verified","","Jerusalem","Jerusalem","Jerusalén","Jérusalem","Gerusalemme","エルサレム","예루살렘","Jerusalém","Иерусалим","耶路撒冷","no","4","","","","","","","","","","",""
"Kabul3784B1AD","appears in a dropdown of timezones","verified","","Kabul","Kabul","Kabul","Kaboul","Kabul","カブール","카불","Cabul","Кабул","喀布尔","no","4","","","","","","","","","","",""
"Kamchatka712F644","appears in a dropdown of timezones","verified","","Kamchatka","Kamtschatka","Kamchatka","Kamchatka","Kamchatka","カムチャツカ","캄차카","Kamchatka","Камчатка","堪察加半岛","no","4","","","","","","","","","","",""
"KarachiCB9B4CE1","appears in a dropdown of timezones","verified","","Karachi","Karatschi","Karachi","Karachi","Karachi","カラチ","카라치","Karachi","Карачи","卡拉奇","no","4","","","","","","","","","","",""
"KathmanduDB80BEFE","appears in a dropdown of timezones","verified","","Kathmandu","Kathmandu","Katmandú","Kathmandou","Katmandu","カトマンズ","카트만두","Katmandu","Катманду","加德满都","no","4","","","","","","","","","","",""
"KolkataAAD4E517","appears in a dropdown of timezones","verified","","Kolkata","Kalkutta","Calcuta","Kolkata","Kolkata","コルカタ","콜카타","Calcutá","Колката","加尔各答","no","4","","","","","","","","","","",""
"KrasnoyarskD9E1CF42","appears in a dropdown of timezones","verified","","Krasnoyarsk","Krasnojarsk","Krasnoyarsk","Krasnoyarsk","Krasnoyarsk","クラスノヤルスク","크라스노야르스크","Krasnoyarsk","Красноярск","克拉斯诺雅尔斯克","no","4","","","","","","","","","","",""
"Kuala_LumpurDA89D0E2","appears in a dropdown of timezones","verified","","Kuala Lumpur","Kuala Lumpur","Kuala Lumpur","Kuala Lumpur","Kuala Lumpur","クアラルンプール","쿠알라룸푸르","Kuala Lumpur","Куала-Лумпур","吉隆坡","no","4","","","","","","","","","","",""
"KuwaitB9C5684A","appears in a dropdown of timezones","verified","","Kuwait","Kuwait","Kuwait","Koweït","Kuwait","クウェート","쿠웨이트","Kuaite","Кувейт","科威特","no","4","","","","","","","","","","",""
"Kyev979D1814","appears in a dropdown of timezones","verified","","Kyev","Kiew","Kiev","Kiev","Kiev","キエフ","키예프","Kyev","Киев","基辅","no","4","","","","","","","","","","",""
"La_Paz6DB27603","appears in a dropdown of timezones","verified","","La Paz","La Paz","La Paz","La Paz","La Paz","ラパス","라파스","La Paz","Ла-Пас","拉巴斯","no","4","","","","","","","","","","",""
"Lima5D668C12","appears in a dropdown of timezones","verified","","Lima","Lima","Lima","Lima","Lima","リマ","리마","Lima","Лима","利马","no","4","","","","","","","","","","",""
"Lisbon27CC5583","appears in a dropdown of timezones","verified","","Lisbon","Lissabon","Lisboa","Lisbonne","Lisbona","リスボン","리스본","Lisboa","Лиссабон","里斯本","no","4","","","","","","","","","","",""
"LjubljanaE46F32C8","appears in a dropdown of timezones","verified","","Ljubljana","Ljubljana","Liubliana","Ljubljana","Lubiana","リュブリャナ","류블랴나","Liubliana","Любляна","卢布尔雅那","no","4","","","","","","","","","","",""
"LondonE7253D3","appears in a dropdown of timezones","verified","","London","London","Londres","Londres","Londra","ロンドン","런던","Londres","Лондон","伦敦","no","4","","","","","","","","","","",""
"MadridBB874F29","appears in a dropdown of timezones","verified","","Madrid","Madrid","Madrid","Madrid","Madrid","マドリッド","마드리드","Madri","Мадрид","马德里","no","4","","","","","","","","","","",""
"Magadan4AA25946","appears in a dropdown of timezones","verified","","Magadan","Magadan","Magadán","Magadan","Magadan","マガダン","마가단","Magadã","Магадан","马加丹","no","4","","","","","","","","","","",""
"Marshall_Is75570485","appears in a dropdown of timezones","verified","","Marshall Is.","Marshallinseln","Islas Marshall","Îles Marshall","Isole Marshall","マーシャル諸島","마셜 제도","Ilhas Marshall","Маршалловы о-ва","马绍尔群岛","no","4","","","","","","","","","","",""
"Mazatlan87EC2C68","appears in a dropdown of timezones","verified","","Mazatlan","Mazatlán","Mazatlán","Mazatlan","Mazatlan","マサトラン","마사틀란","Mazatlan","Мазатлан","马萨特兰","no","4","","","","","","","","","","",""
"Melbourne8EA50913","appears in a dropdown of timezones","verified","","Melbourne","Melbourne","Melbourne","Melbourne","Melbourne","メルボルン","멜버른","Melbourne","Мельбурн","墨尔本","no","4","","","","","","","","","","",""
"Mexico_CityEB5A4688","appears in a dropdown of timezones","verified","","Mexico City","Mexiko-Stadt","Ciudad de México","Mexico City","Città del Messico","メキシコシティ","멕시코시티","Cidade do México","Мехико","墨西哥城","no","4","","","","","","","","","","",""
"MidAtlantic9BC31E15","appears in a dropdown of timezones","verified","","Mid-Atlantic","Mitte des Atlantiks","Atlántico Medio","Atlantique du Milieu","Medioatlantico","中央大西洋","대서양 중부","Atlântico Central","Среднеатлантический","中大西洋","no","4","","","","","","","","","","",""
"Midway_Island9C6D772A","appears in a dropdown of timezones","verified","","Midway Island","Midway Island","Islas Midway","Île du Milieu","Isole Midway","ミッドウェー島","미드웨이 섬","Ilhas Midway","О-ва Мидуэй","中途岛","no","4","","","","","","","","","","",""
"MinskBC54A7A3","appears in a dropdown of timezones","verified","","Minsk","Minsk","Minsk","Minsk","Minsk","ミンスク","민스크","Minsk","Минск","明斯克","no","4","","","","","","","","","","",""
"MonroviaA61B9B4B","appears in a dropdown of timezones","verified","","Monrovia","Monrovia","Monrovia","Monrovia","Monrovia","モンロビア","몬로비아","Monróvia","Монровия","蒙罗维亚","no","4","","","","","","","","","","",""
"Monterrey7DE740E8","appears in a dropdown of timezones","verified","","Monterrey","Monterrey","Monterrey","Monterrey","Monterrey","モンテレイ","몬테레이","Monterrey","Монтеррей","蒙特雷","no","4","","","","","","","","","","",""
"Moscow679B171","appears in a dropdown of timezones","verified","","Moscow","Moskau","Moscú","Moscou","Mosca","モスクワ","모스크바","Moscou","Москва","莫斯科","no","4","","","","","","","","","","",""
"Mountain_Time_US__Canada1689EF49","appears in a dropdown of timezones","verified","","Mountain Time (US & Canada)","Rocky-Mountains-Zeit (USA & Kanada)","Hora de las Montañas (EE.UU. y Canadá)","Heure des Rocheuses (États-Unis et Canada)","Fuso occidentale (Stati Uniti e Canada)","山地標準時 (米国およびカナダ)","산지 표준시(미국 및 캐나다)","Hora das Montanhas (EUA e Canadá)","Зона зимнего времени (США и Канада)","山地时间（美国和加拿大）","no","4","","","","","","","","","","",""
"MumbaiF9A16424","appears in a dropdown of timezones","verified","","Mumbai","Mumbai","Mumbai","Mumbai","Mumbai","ムンバイ","뭄바이","Bombaim","Мумбаи","孟买","no","4","","","","","","","","","","",""
"Muscat2BA34266","appears in a dropdown of timezones","verified","","Muscat","Maskat","Mascate","Muscat","Muscat","マスカット","무스카트","Mascate","Маскат","马斯喀特","no","4","","","","","","","","","","",""
"Nairobi3FCA2C4A","appears in a dropdown of timezones","verified","","Nairobi","Nairobi","Nairobi","Nairobi","Nairobi","ナイロビ","나이로비","Nairóbi","Найроби","内罗毕","no","4","","","","","","","","","","",""
"New_Caledonia4CEFF26C","appears in a dropdown of timezones","verified","","New Caledonia","Neukaledonien","Nueva Caledonia","Nouvelle-Calédonie","Nuova Caledonia","ニューカレドニア","뉴 칼레도니아","Nova Caledônia","Новая Каледония","新喀里多尼亚","no","4","","","","","","","","","","",""
"New_Delhi3F3D7AD8","appears in a dropdown of timezones","verified","","New Delhi","Neu-Delhi","Nueva Delhi","New Delhi","Nuova Delhi","ニューデリー","뉴델리","Nova Délhi","Нью-Дели","新德里","no","4","","","","","","","","","","",""
"NewfoundlandD87B06CC","appears in a dropdown of timezones","verified","","Newfoundland","Neufundland","Newfoundland","Terre-Neuve","Terranova","ニューファンドランド","뉴펀들랜드","Newfoundland","Ньюфаундленд","纽芬兰","no","4","","","","","","","","","","",""
"Novosibirsk9B87F2EB","appears in a dropdown of timezones","verified","","Novosibirsk","Novosibirsk","Novosibirsk","Novosibirsk","Novosibirsk","ノボシビルスク","노보시비르스크","Novosibirsk","Новосибирск","新西伯利亚","no","4","","","","","","","","","","",""
"Nukualofa6F8EA8A4","appears in a dropdown of timezones","verified","","Nuku'alofa","Nuku'alofa","Nuku'alofa","Nuku'alofa","Nuku'alofa","ヌクアロファ","누쿠알로파","Nuku'alofa","Нукуалофа","努库阿洛法","no","4","","","","","","","","","","",""
"Osaka90A27542","appears in a dropdown of timezones","verified","","Osaka","Osaka","Osaka","Osaka","Osaka","大阪","오사카","Osaka","Осака","大阪","no","4","","","","","","","","","","",""
"Pacific_Time_US__CanadaB476AF93","appears in a dropdown of timezones","verified","","Pacific Time (US & Canada)","Pazifische Zeit (USA & Kanada)","Hora del Pacífico (EE.UU. y Canadá)","Heure du Pacifique (États-Unis et Canada)","Ora costa pacifica (Stati Uniti e Canada)","太平洋標準時 (米国およびカナダ)","태평양 표준시(미국 및 캐나다)","Hora do Pacífico (EUA e Canadá)","Тихоокеанское время (США и Канада)","太平洋时间（美国和加拿大）","no","4","","","","","","","","","","",""
"Paris57EDE4E6","appears in a dropdown of timezones","verified","","Paris","Paris","París","Paris","Parigi","パリ","파리","Paris","Париж","巴黎","no","4","","","","","","","","","","",""
"PerthAD86D641","appears in a dropdown of timezones","verified","","Perth","Perth","Perth","Perth","Perth","パース","퍼스","Perth","Перт","珀斯","no","4","","","","","","","","","","",""
"Port_Moresby593650AB","appears in a dropdown of timezones","verified","","Port Moresby","Port Moresby","Puerto Moresby","Port Moresby","Port Moresby","ポートモレスビー","포트모르즈비","Port Moresby","Порт-Морсби","莫尔兹比港","no","4","","","","","","","","","","",""
"Prague9FCC4F5C","appears in a dropdown of timezones","verified","","Prague","Prag","Praga","Prague","Praga","プラハ","프라하","Praga","Прага","布拉格","no","4","","","","","","","","","","",""
"PretoriaA522EF00","appears in a dropdown of timezones","verified","","Pretoria","Pretoria","Pretoria","Prétoria","Pretoria","プレトリア","프리토리아","Pretória","Претория","比勒陀利亚","no","4","","","","","","","","","","",""
"Quito4EE8715C","appears in a dropdown of timezones","verified","","Quito","Quito","Quito","Quito","Quito","キト","키토","Quito","Кито","基多","no","4","","","","","","","","","","",""
"Rangoon61994AA3","appears in a dropdown of timezones","verified","","Rangoon","Rangun","Rangún","Rangoon","Rangoon","ラングーン","랑군","Rangoon","Рангун","仰光","no","4","","","","","","","","","","",""
"Riga174F4434","appears in a dropdown of timezones","verified","","Riga","Riga","Riga","Riga","Riga","リガ","리가","Riga","Рига","里加","no","4","","","","","","","","","","",""
"Riyadh797C14AB","appears in a dropdown of timezones","verified","","Riyadh","Riad","Riad","Riyadh","Riyadh","リヤド","리야드","Riad","Эр-Рияд","利雅得","no","4","","","","","","","","","","",""
"RomeEE401415","appears in a dropdown of timezones","verified","","Rome","Rom","Roma","Rome","Roma","ローマ","로마","Roma","Рим","罗马","no","4","","","","","","","","","","",""
"SamoaA2D4ACB5","appears in a dropdown of timezones","verified","","Samoa","Samoa","Samoa","Samoa","Samoa","サモア","사모아","Samoa","Самоа","萨摩亚群岛","no","4","","","","","","","","","","",""
"Santiago556CDC0F","appears in a dropdown of timezones","verified","","Santiago","Santiago","Santiago","Santiago","Santiago","サンティアゴ","산티아고","Santiago","Сантьяго","圣地亚哥","no","4","","","","","","","","","","",""
"Sapporo5D9B5B58","appears in a dropdown of timezones","verified","","Sapporo","Sapporo","Sapporo","Sapporo","Sapporo","札幌","삿포로","Sapporo","Саппоро","札幌","no","4","","","","","","","","","","",""
"SarajevoCF1D223F","appears in a dropdown of timezones","verified","","Sarajevo","Sarajevo","Sarajevo","Sarajevo","Sarajevo","サラエボ","사라예보","Sarajevo","Сараево","萨拉热窝","no","4","","","","","","","","","","",""
"SaskatchewanCACC5CB1","appears in a dropdown of timezones","verified","","Saskatchewan","Saskatchewan","Saskatchewan","Saskatchewan","Saskatchewan","サスカチュワン","서스캐처원","Saskatchewan","Саскачеван","萨斯喀彻温","no","4","","","","","","","","","","",""
"SeoulE0AE69EA","appears in a dropdown of timezones","verified","","Seoul","Seoul","Seúl","Séoul","Seoul","ソウル","서울","Seul","Сеул","首尔","no","4","","","","","","","","","","",""
"Singapore3D2608","appears in a dropdown of timezones","verified","","Singapore","Singapur","Singapur","Singapour","Singapore","シンガポール","싱가포르","Cingapura","Сингапур","新加坡","no","4","","","","","","","","","","",""
"Skopje40440459","appears in a dropdown of timezones","verified","","Skopje","Skopje","Skopje","Skopje","Skopje","スコピエ","스코페","Skopje","Скопье","斯科普里","no","4","","","","","","","","","","",""
"Sofia180493E1","appears in a dropdown of timezones","verified","","Sofia","Sofia","Sofia","Sofia","Sofia","ソフィア","소피아","Sófia","София","索非亚","no","4","","","","","","","","","","",""
"Solomon_Is2BD7F29E","appears in a dropdown of timezones","verified","","Solomon Is.","Salomonen","Islas Salomón","Îles Salomon","Isole Salomone","ソロモン諸島","솔로몬 제도","Ilhas Salomão","Соломоновы о-ва","所罗门群岛","no","4","","","","","","","","","","",""
"Sri_Jayawardenepura1BA7295A","appears in a dropdown of timezones","verified","","Sri Jayawardenepura","Sri Jayawardenapura","Sri Jayawardenepura","Sri Jayawardenepura","Sri Jayawardenepura","スリジャヤワルダナプラコッテ","스리자야와르데네푸라","Sri Jayawardenepura","Шри-Джаяварденепура","斯里哈亚华登尼普拉","no","4","","","","","","","","","","",""
"St_Petersburg2C26F440","appears in a dropdown of timezones","verified","","St. Petersburg","St. Petersburg","San Petersburgo","Saint-Pétersbourg","San Pietroburgo","サンクトペテルブルク","상트페테르부르크","São Petersburgo","Санкт-Петербург","圣彼得堡","no","4","","","","","","","","","","",""
